latitude,longitude,depth,SampleID,Location_Code,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium,Cochlodinium,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
32.867,-117.257,NaN,20080908,SIO,2008-09-08T14:45:00Z,21.6,NaN,33.48,100,1.64,1.68,1.66,0.28,0.31,0.3,0.2,3.7,0.12,NaN,0.97,0.22,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20080915,SIO,2008-09-15T14:50:00Z,19.2,NaN,33.46,100,3.95,3.8,3.88,0.46,0.56,0.51,0.19,3.1,0.0,NaN,0.46,0.26,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20080922,SIO,2008-09-22T14:45:00Z,19.0,NaN,33.42,100,2.14,2.15,2.15,0.38,0.35,0.36,0.21,3.4,0.12,NaN,0.78,0.17,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20080929,SIO,2008-09-29T15:45:00Z,18.1,NaN,33.37,100,2.48,2.48,2.48,0.7,0.71,0.7,0.28,2.9,0.12,NaN,0.77,0.23,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081006,SIO,2008-10-06T15:15:00Z,19.2,NaN,33.45,100,1.34,1.29,1.31,0.55,0.56,0.56,0.23,2.7,0.1,NaN,1.48,0.33,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081013,SIO,2008-10-13T16:10:00Z,18.1,NaN,33.48,100,2.37,2.37,2.37,0.52,0.53,0.52,0.41,6.0,0.0,NaN,1.4,0.51,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081020,SIO,2008-10-20T15:10:00Z,16.6,NaN,33.36,100,1.73,1.75,1.74,0.65,0.69,0.67,0.29,1.8,0.14,NaN,0.81,0.32,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081027,SIO,2008-10-27T15:20:00Z,17.6,NaN,33.41,100,0.91,0.91,0.91,0.8,0.82,0.81,0.3,1.9,0.0,NaN,1.16,0.51,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081103,SIO,2008-11-03T16:50:00Z,16.2,NaN,33.37,100,0.86,0.83,0.84,0.9,1.04,0.97,0.43,3.3,0.18,NaN,1.4,0.9,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081110,SIO,2008-11-10T17:10:00Z,16.9,NaN,33.41,100,1.18,1.18,1.18,0.8,0.77,0.78,0.36,2.8,0.0,NaN,0.8,0.49,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081117,SIO,2008-11-17T16:55:00Z,16.9,NaN,33.42,100,1.28,1.24,1.26,0.42,0.43,0.42,0.3,3.0,0.0,NaN,0.6,0.27,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081124,SIO,2008-11-24T17:15:00Z,17.0,NaN,33.44,100,0.76,0.76,0.76,0.3,0.3,0.3,0.31,2.4,0.18,NaN,0.31,0.2,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081201,SIO,2008-12-01T17:00:00Z,16.4,NaN,33.33,100,1.45,1.47,1.46,1.12,1.16,1.14,0.38,3.2,0.0,NaN,0.65,0.5,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081208,SIO,2008-12-08T17:05:00Z,16.6,NaN,33.4,100,1.67,1.59,1.63,0.98,0.92,0.95,0.36,2.6,0.12,NaN,0.91,0.43,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081215,SIO,2008-12-15T16:40:00Z,15.1,NaN,33.41,100,1.22,1.25,1.23,0.71,0.7,0.7,0.36,3.9,0.0,NaN,0.54,0.25,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081222,SIO,2008-12-22T17:10:00Z,14.5,NaN,33.28,100,1.6,1.62,1.61,0.77,0.88,0.82,0.44,4.3,0.21,NaN,0.41,1.35,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20081229,SIO,2008-12-29T17:15:00Z,13.7,NaN,33.26,100,1.4,1.39,1.4,0.74,0.75,0.74,0.53,5.5,0.28,NaN,0.76,2.47,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090105,SIO,2009-01-05T17:56:00Z,13.4,NaN,33.32,100,2.69,2.58,2.63,0.88,1.11,1.0,0.44,5.1,0.22,NaN,0.68,1.17,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090112,SIO,2009-01-12T17:55:00Z,14.0,NaN,33.37,100,2.6,2.5,2.55,0.43,0.44,0.44,0.36,4.2,0.0,NaN,0.45,0.46,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090120,SIO,2009-01-20T17:25:00Z,14.5,NaN,33.4,100,1.71,1.67,1.69,0.56,0.58,0.57,0.33,3.1,0.0,NaN,0.37,0.34,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090126,SIO,2009-01-26T17:00:00Z,14.3,NaN,33.36,100,1.4,1.38,1.39,1.31,1.31,1.31,0.38,3.5,0.0,NaN,0.36,0.74,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090202,SIO,2009-02-02T18:10:00Z,14.4,NaN,33.41,100,1.69,1.66,1.67,0.77,0.79,0.78,0.36,4.0,0.0,NaN,0.47,0.6,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090209,SIO,2009-02-09T17:15:00Z,14.5,NaN,33.19,100,1.23,1.21,1.22,0.62,0.59,0.6,0.3,3.6,0.11,NaN,0.69,0.4,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090216,SIO,2009-02-16T17:10:00Z,13.8,NaN,33.31,100,2.28,2.32,2.3,0.98,1.05,1.02,0.42,4.6,0.14,NaN,1.24,1.43,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090223,SIO,2009-02-23T17:10:00Z,14.3,NaN,33.29,100,1.86,1.96,1.91,0.75,0.69,0.72,0.29,4.5,0.11,NaN,0.48,0.46,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090302,SIO,2009-03-02T17:10:00Z,14.9,NaN,33.28,100,2.34,2.52,2.43,0.6,0.54,0.57,0.22,3.9,0.0,NaN,0.17,0.29,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090309,SIO,2009-03-09T15:15:00Z,14.5,NaN,33.36,100,4.91,5.06,4.98,0.98,0.86,0.92,0.21,3.8,0.0,NaN,0.24,0.17,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090316,SIO,2009-03-16T15:15:00Z,14.7,NaN,33.43,100,5.15,5.32,5.24,0.8,0.49,0.64,0.2,4.3,0.0,NaN,0.25,0.14,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090323,SIO,2009-03-23T15:10:00Z,14.3,NaN,33.4,100,6.23,6.3,6.27,1.35,1.62,1.49,0.4,5.9,0.2,NaN,0.64,1.4,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090330,SIO,2009-03-30T15:50:00Z,14.4,NaN,33.49,100,3.26,3.21,3.23,1.38,1.53,1.46,0.32,6.3,0.2,NaN,0.78,0.75,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090406,SIO,2009-04-06T15:05:00Z,15.9,NaN,33.52,100,1.74,1.79,1.77,0.48,0.47,0.48,0.26,6.0,0.13,NaN,0.69,0.11,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090413,SIO,2009-04-13T15:10:00Z,15.3,NaN,33.49,100,2.03,1.95,1.99,0.55,0.56,0.56,0.4,7.6,0.2,NaN,0.4,1.57,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090420,SIO,2009-04-20T15:15:00Z,16.7,NaN,33.57,100,1.82,1.82,1.82,0.36,0.38,0.37,0.11,0.0,0.13,NaN,0.5,0.03,200,0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090427,SIO,2009-04-27T15:10:00Z,15.8,NaN,33.59,100,1.67,1.65,1.66,1.15,1.27,1.21,0.49,6.2,0.13,NaN,1.42,2.92,200,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090504,SIO,2009-05-04T15:10:00Z,17.7,NaN,33.58,100,3.78,3.85,3.82,0.68,0.66,0.67,0.17,1.1,0.14,NaN,0.35,0.19,200,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090511,SIO,2009-05-11T15:15:00Z,18.9,NaN,33.62,100,4.5,4.39,4.45,0.84,0.96,0.9,0.13,0.0,0.0,NaN,0.22,0.23,200,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090518,SIO,2009-05-18T15:10:00Z,19.3,NaN,33.68,100,2.94,2.81,2.88,0.88,1.04,0.96,0.12,0.0,0.14,NaN,0.29,0.28,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090525,SIO,2009-05-25T16:11:00Z,20.2,NaN,33.67,100,1.07,1.05,1.06,0.41,0.37,0.39,0.15,1.5,0.0,NaN,1.14,0.28,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090601,SIO,2009-06-01T15:15:00Z,19.0,NaN,33.66,100,1.84,1.88,1.86,0.88,0.88,0.88,0.17,2.4,0.0,NaN,1.0,0.46,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090608,SIO,2009-06-08T15:10:00Z,19.5,NaN,33.66,100,1.79,1.81,1.8,0.65,0.7,0.68,0.28,6.2,0.15,NaN,1.77,1.36,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090615,SIO,2009-06-15T15:10:00Z,19.9,NaN,33.66,100,0.91,0.9,0.9,0.17,0.22,0.2,0.28,6.3,0.0,NaN,0.31,0.33,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090622,SIO,2009-06-22T15:14:00Z,20.6,NaN,33.68,100,1.27,1.24,1.25,0.58,0.57,0.57,0.24,5.4,0.0,NaN,0.59,0.28,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090629,SIO,2009-06-29T15:10:00Z,20.3,NaN,33.66,100,1.84,1.92,1.88,0.59,0.67,0.63,0.28,4.2,0.11,NaN,0.81,0.32,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090706,SIO,2009-07-06T15:15:00Z,18.0,NaN,33.5,100,3.21,3.26,3.23,0.84,0.79,0.82,0.32,4.7,0.0,NaN,0.82,0.64,200,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090713,SIO,2009-07-13T15:15:00Z,20.9,NaN,33.53,100,2.45,2.37,2.41,0.4,0.47,0.44,0.26,0.0,0.13,NaN,0.57,0.17,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090720,SIO,2009-07-20T15:10:00Z,20.9,NaN,33.48,100,2.42,2.4,2.41,0.28,0.31,0.3,0.21,0.0,0.12,NaN,0.44,0.1,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090727,SIO,2009-07-27T15:15:00Z,24.5,NaN,33.65,100,1.06,1.01,1.04,0.25,0.26,0.26,0.17,0.0,0.14,NaN,0.74,0.29,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090803,SIO,2009-08-03T15:10:00Z,23.5,NaN,33.7,100,0.92,0.93,0.92,0.47,0.48,0.48,0.24,0.0,0.0,NaN,0.47,0.25,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090810,SIO,2009-08-10T15:20:00Z,23.0,NaN,33.6,100,0.68,0.7,0.69,0.23,0.23,0.23,0.24,1.2,0.0,NaN,1.38,0.46,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090817,SIO,2009-08-17T15:05:00Z,22.1,NaN,33.63,100,0.92,0.93,0.92,0.44,0.45,0.44,0.28,1.2,0.14,NaN,0.57,0.33,200,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090824,SIO,2009-08-24T15:10:00Z,22.8,NaN,33.62,100,1.09,1.06,1.08,0.49,0.52,0.5,0.22,1.4,0.0,NaN,0.98,0.31,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090831,SIO,2009-08-31T15:15:00Z,23.8,NaN,33.62,100,0.91,0.91,0.91,0.33,0.32,0.32,0.21,1.2,0.11,NaN,0.85,0.12,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090907,SIO,2009-09-07T15:15:00Z,24.7,NaN,33.69,100,0.99,1.02,1.0,0.4,0.42,0.41,0.23,0.0,0.0,NaN,0.5,0.08,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090914,SIO,2009-09-14T15:15:00Z,22.3,NaN,33.59,100,0.56,0.57,0.56,0.29,0.29,0.29,0.23,0.0,0.0,NaN,0.57,0.12,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090921,SIO,2009-09-21T15:15:00Z,22.8,NaN,33.6,100,1.02,0.99,1.0,0.37,0.38,0.38,0.23,1.2,0.0,NaN,0.75,0.05,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20090928,SIO,2009-09-28T15:10:00Z,21.4,NaN,33.49,100,0.74,0.77,0.76,0.32,0.34,0.33,0.27,2.0,0.0,NaN,0.52,0.41,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091005,SIO,2009-10-05T15:10:00Z,20.1,NaN,33.57,100,0.78,0.79,0.78,0.36,0.37,0.36,0.34,1.6,0.16,NaN,0.47,0.31,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091012,SIO,2009-10-12T15:10:00Z,18.3,NaN,33.44,100,0.93,0.96,0.94,0.31,0.33,0.32,0.37,2.7,0.0,NaN,1.19,0.38,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091019,SIO,2009-10-19T15:10:00Z,19.1,NaN,33.44,100,1.17,1.14,1.15,0.5,0.53,0.52,0.33,2.3,0.0,NaN,0.28,0.56,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091026,SIO,2009-10-26T15:15:00Z,19.5,NaN,33.47,100,1.07,1.07,1.07,0.6,0.6,0.6,0.35,2.1,0.15,NaN,0.65,0.65,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091102,SIO,2009-11-02T17:10:00Z,16.7,NaN,33.34,100,1.23,1.24,1.23,0.44,0.43,0.44,0.39,2.9,0.18,NaN,0.49,0.76,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091109,SIO,2009-11-09T17:09:00Z,17.1,NaN,33.39,100,0.79,0.76,0.78,0.34,0.34,0.34,0.36,2.3,0.11,NaN,0.5,0.65,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091116,SIO,2009-11-16T17:10:00Z,17.2,NaN,33.46,100,1.09,1.09,1.09,0.29,0.3,0.3,0.37,2.3,0.0,NaN,0.76,0.67,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091123,SIO,2009-11-23T17:15:00Z,16.7,NaN,33.44,100,1.53,1.49,1.51,0.61,0.6,0.6,0.37,2.6,0.15,NaN,0.53,0.9,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091130,SIO,2009-11-30T17:10:00Z,16.4,NaN,33.43,100,0.96,0.98,0.97,0.54,0.5,0.52,0.41,2.6,0.0,NaN,0.61,1.05,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091207,SIO,2009-12-07T17:35:00Z,15.4,NaN,33.22,100,1.95,1.98,1.96,0.92,1.22,1.07,0.46,3.5,0.22,NaN,0.34,1.19,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091214,SIO,2009-12-14T17:15:00Z,15.4,NaN,33.33,100,0.81,0.84,0.82,0.67,0.65,0.66,0.47,3.2,0.14,NaN,0.87,0.96,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.867,-117.257,NaN,20091221,SIO,2009-12-21T17:15:00Z,15.2,NaN,33.35,100,1.19,1.12,1.16,0.73,0.69,0.71,0.42,3.5,0.13,NaN,1.05,0.75,200,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
